attendance_id,student_id,date,status,subject_code,period,teacher_id,reason,class_room
A083,S003,2024-11-06,มาเรียน,S101,3,T003,,1/2
A084,S003,2024-11-07,มาเรียน,E101,4,T004,,1/2
A085,S003,2024-11-08,มาเรียน,SS101,5,T005,,1/2
A086,S004,2024-11-04,มาสาย,M101,1,T001,ตื่นสาย,1/2
A087,S004,2024-11-05,มาเรียน,T101,2,T002,,1/2
A088,S004,2024-11-06,มาเรียน,S101,3,T003,,1/2
A089,S004,2024-11-07,ขาดเรียน,E101,4,T004,ป่วย,1/2
A090,S004,2024-11-08,มาเรียน,SS101,5,T005,,1/2
A091,S012,2024-10-07,ขาดเรียน,M201,1,T009,ป่วย,2/2
A092,S012,2024-10-08,ขาดเรียน,T201,2,T010,ป่วย,2/2
A093,S012,2024-10-09,ลาป่วย,S201,3,T011,ป่วย,2/2
A094,S012,2024-10-10,มาเรียน,E201,4,T012,,2/2
A095,S012,2024-10-11,มาเรียน,SS201,5,T013,,2/2
A096,S024,2024-09-16,มาเรียน,M401,1,T001,,4/1
A097,S024,2024-09-17,มาสาย,T401,2,T002,ติดธุระ,4/1
A098,S024,2024-09-18,มาเรียน,S401,3,T003,,4/1
A099,S024,2024-09-19,มาเรียน,E401,4,T012,,4/1
A100,S024,2024-09-20,มาเรียน,SS401,5,T013,,4/1
