record_id,student_id,subject_code,subject_name,semester,academic_year,midterm_score,final_score,total_score,grade,teacher_id,class_room
R032,S017,T301,ภาษาไทย ม.3,1,2567,40,42,82,3.5,T010,3/1
R033,S017,S301,วิทยาศาสตร์ ม.3,1,2567,38,40,78,3,T018,3/1
R034,S017,E301,ภาษาอังกฤษ ม.3,1,2567,44,46,90,4,T019,3/1
R035,S017,SS301,สังคมศึกษา ม.3,1,2567,41,43,84,3.5,T013,3/1
R036,S018,M301,คณิตศาสตร์ ม.3,1,2567,35,37,72,2.5,T017,3/1
R037,S018,T301,ภาษาไทย ม.3,1,2567,37,39,76,3,T010,3/1
R038,S018,S301,วิทยาศาสตร์ ม.3,1,2567,33,35,68,2,T018,3/1
R039,S018,E301,ภาษาอังกฤษ ม.3,1,2567,38,40,78,3,T019,3/1
R040,S018,SS301,สังคมศึกษา ม.3,1,2567,36,38,74,2.5,T013,3/1
R041,S023,M401,คณิตศาสตร์ ม.4,1,2567,40,43,83,3.5,T001,4/1
R042,S023,T401,ภาษาไทย ม.4,1,2567,42,44,86,4,T002,4/1
R043,S023,S401,ฟิสิกส์,1,2567,38,40,78,3,T003,4/1
R044,S023,E401,ภาษาอังกฤษ ม.4,1,2567,44,46,90,4,T012,4/1
R045,S023,SS401,สังคมศึกษา ม.4,1,2567,40,42,82,3.5,T013,4/1
R046,S024,M401,คณิตศาสตร์ ม.4,1,2567,36,38,74,2.5,T001,4/1
R047,S024,T401,ภาษาไทย ม.4,1,2567,38,40,78,3,T002,4/1
R048,S024,S401,ฟิสิกส์,1,2567,34,36,70,2,T003,4/1
R049,S024,E401,ภาษาอังกฤษ ม.4,1,2567,40,42,82,3.5,T012,4/1
R050,S024,SS401,สังคมศึกษา ม.4,1,2567,37,39,76,3,T013,4/1
R051,S029,M501,แคลคูลัส,1,2567,43,45,88,4,T009,5/1
R052,S029,T501,ภาษาไทย ม.5,1,2567,40,42,82,3.5,T010,5/1
R053,S029,S501,เคมี,1,2567,42,44,86,4,T011,5/1
R054,S029,E501,ภาษาอังกฤษ ม.5,1,2567,45,47,92,4,T019,5/1
R055,S029,SS501,สังคมศึกษา ม.5,1,2567,41,43,84,3.5,T013,5/1
R056,S030,M501,แคลคูลัส,1,2567,38,40,78,3,T009,5/1
R057,S030,T501,ภาษาไทย ม.5,1,2567,36,38,74,2.5,T010,5/1
R058,S030,S501,เคมี,1,2567,39,41,80,3,T011,5/1
R059,S030,E501,ภาษาอังกฤษ ม.5,1,2567,42,44,86,4,T019,5/1
R060,S030,SS501,สังคมศึกษา ม.5,1,2567,38,40,78,3,T013,5/1
R061,S035,M601,แคลคูลัส 2,1,2567,44,46,90,4,T017,6/1
R062,S035,T601,ภาษาไทย ม.6,1,2567,42,44,86,4,T002,6/1
R063,S035,S601,ชีววิทยา,1,2567,43,45,88,4,T018,6/1
R064,S035,E601,ภาษาอังกฤษ ม.6,1,2567,46,48,94,4,T012,6/1
R065,S035,SS601,สังคมศึกษา ม.6,1,2567,42,44,86,4,T013,6/1
R066,S036,M601,แคลคูลัส 2,1,2567,37,39,76,3,T017,6/1
R067,S036,T601,ภาษาไทย ม.6,1,2567,38,40,78,3,T002,6/1
R068,S036,S601,ชีววิทยา,1,2567,36,38,74,2.5,T018,6/1
R069,S036,E601,ภาษาอังกฤษ ม.6,1,2567,40,42,82,3.5,T012,6/1
R070,S036,SS601,สังคมศึกษา ม.6,1,2567,38,40,78,3,T013,6/1
R071,S001,M101,คณิตศาสตร์ ม.1,2,2567,40,42,82,3.5,T001,1/1
R072,S001,T101,ภาษาไทย ม.1,2,2567,42,45,87,4,T002,1/1
R073,S001,S101,วิทยาศาสตร์ ม.1,2,2567,38,40,78,3,T003,1/1
R074,S001,E101,ภาษาอังกฤษ ม.1,2,2567,43,45,88,4,T004,1/1
R075,S001,SS101,สังคมศึกษา ม.1,2,2567,39,41,80,3,T005,1/1
R076,S002,M101,คณิตศาสตร์ ม.1,2,2567,42,44,86,4,T001,1/1
R077,S002,T101,ภาษาไทย ม.1,2,2567,38,40,78,3,T002,1/1
R078,S002,S101,วิทยาศาสตร์ ม.1,2,2567,40,42,82,3.5,T003,1/1
R079,S002,E101,ภาษาอังกฤษ ม.1,2,2567,44,46,90,4,T004,1/1
R080,S002,SS101,สังคมศึกษา ม.1,2,2567,39,41,80,3,T005,1/1
R081,S005,M101,คณิตศาสตร์ ม.1,1,2567,48,49,97,4,T001,1/3
R082,S005,T101,ภาษาไทย ม.1,1,2567,46,48,94,4,T002,1/3
R083,S005,S101,วิทยาศาสตร์ ม.1,1,2567,45,47,92,4,T003,1/3
R084,S005,E101,ภาษาอังกฤษ ม.1,1,2567,47,49,96,4,T004,1/3
R085,S005,SS101,สังคมศึกษา ม.1,1,2567,44,46,90,4,T005,1/3
R086,S006,M101,คณิตศาสตร์ ม.1,1,2567,25,27,52,1,T001,1/3
R087,S006,T101,ภาษาไทย ม.1,1,2567,28,30,58,1.5,T002,1/3
R088,S006,S101,วิทยาศาสตร์ ม.1,1,2567,23,25,48,1,T003,1/3
R089,S006,E101,ภาษาอังกฤษ ม.1,1,2567,30,32,62,2,T004,1/3
R090,S006,SS101,สังคมศึกษา ม.1,1,2567,27,29,56,1.5,T005,1/3
R091,S011,M201,คณิตศาสตร์ ม.2,1,2567,45,47,92,4,T009,2/2
R092,S011,T201,ภาษาไทย ม.2,1,2567,43,45,88,4,T010,2/2
R093,S011,S201,วิทยาศาสตร์ ม.2,1,2567,42,44,86,4,T011,2/2
R094,S011,E201,ภาษาอังกฤษ ม.2,1,2567,46,48,94,4,T012,2/2
R095,S011,SS201,สังคมศึกษา ม.2,1,2567,44,46,90,4,T013,2/2
R096,S012,M201,คณิตศาสตร์ ม.2,1,2567,32,34,66,2,T009,2/2
R097,S012,T201,ภาษาไทย ม.2,1,2567,34,36,70,2,T010,2/2
R098,S012,S201,วิทยาศาสตร์ ม.2,1,2567,30,32,62,2,T011,2/2
R099,S012,E201,ภาษาอังกฤษ ม.2,1,2567,36,38,74,2.5,T012,2/2
R100,S012,SS201,สังคมศึกษา ม.2,1,2567,33,35,68,2,T013,2/2
