subject_code,subject_name,grade_level,credit,subject_group,teacher_id,class_room,students_enrolled,schedule
M301,คณิตศาสตร์ ม.3,ม.3,1.5,คณิตศาสตร์,T009,3/3,23,จันทร์ 13:00-14:30
S401,ฟิสิกส์,ม.4,1.5,วิทยาศาสตร์,T003,4/1,20,พุธ 08:30-10:00
S401,ฟิสิกส์,ม.4,1.5,วิทยาศาสตร์,T003,4/2,18,พุธ 10:15-11:45
S401,ฟิสิกส์,ม.4,1.5,วิทยาศาสตร์,T011,4/3,19,พุธ 13:00-14:30
S501,เคมี,ม.5,1.5,วิทยาศาสตร์,T011,5/1,17,พุธ 08:30-10:00
S501,เคมี,ม.5,1.5,วิทยาศาสตร์,T011,5/2,16,พุธ 10:15-11:45
S501,เคมี,ม.5,1.5,วิทยาศาสตร์,T018,5/3,18,พุธ 13:00-14:30
S601,ชีววิทยา,ม.6,1.5,วิทยาศาสตร์,T018,6/1,15,พุธ 08:30-10:00
S601,ชีววิทยา,ม.6,1.5,วิทยาศาสตร์,T018,6/2,14,พุธ 10:15-11:45
S601,ชีววิทยา,ม.6,1.5,วิทยาศาสตร์,T003,6/3,16,พุธ 13:00-14:30
M501,แคลคูลัส,ม.5,1.5,คณิตศาสตร์,T009,5/1,17,จันทร์ 08:30-10:00
M501,แคลคูลัส,ม.5,1.5,คณิตศาสตร์,T009,5/2,16,จันทร์ 10:15-11:45
M501,แคลคูลัส,ม.5,1.5,คณิตศาสตร์,T001,5/3,18,จันทร์ 13:00-14:30
M601,แคลคูลัส 2,ม.6,1.5,คณิตศาสตร์,T017,6/1,15,จันทร์ 08:30-10:00
M601,แคลคูลัส 2,ม.6,1.5,คณิตศาสตร์,T017,6/2,14,จันทร์ 10:15-11:45
M601,แคลคูลัส 2,ม.6,1.5,คณิตศาสตร์,T009,6/3,16,จันทร์ 13:00-14:30
